a: ä°
Vlach: vla°ć
Vlad: vla°d
Vladikavkaz: vládikáfká°s
Vladimir: vla°d'mir
Vladivostok: vladivó°stok
Vlaminck: vlama°nk
Vlasic: vla°zik
Vlissingen: vli°siń'n
Vltava: v'ltá°vá
vo: vö°
vocable: vö°k'b'l
vocabulary: vöka°by'lerë
vocal: vö°kal
vocalic: vöka°lik
vocalise:> vocalize
vocalism: vö°k'liz'm
vocalist: vö°k'list
vocality: vöka°litë
vocalize: vö°k'lïz
vocally: vö°k'lë
vocals: vö°k'lz
vocation: vökä°ś'n
vocational: vökä°ś'n'l
vocations: vökä°ś'nz
vocative: vá°k'tiv
vocatively: vá°k'tivlë
vociferance: vösi°f'r'ns
vociferate: vösi°f'rät
vociferated: v'si°f'rät'd
vociferates: v'si°f'räts
vociferating: v'si°f'rätiń
vociferation: vösif'rä°ś'n
vociferous: vösi°f'r's
vociferously: vösi°f'r'slë
vociferousness: vösi°f'r'snes
vocoid: vö°koid
vodka: vo°dk'
vodkas: vo°dk'z
vogie: vö°gë
vogue: vö°g
voguish: vö°giś
Vogul: vö°gúl
voice: voi°s
voiced: voi°st
voicedness: voi°sidnis
voiceful: voi°sf'l
voiceless: voi°sl's
voiceover: voi°söv'r
voices: voi°s'z
voicing: voi°siń
void: voi°d
voidable: voi°d'b'l
voidance: voi°d'ns
voided: voi°did
voider: voi°d'r
voiding: voi°diń
voids: voi°dz
voila: vwala°
voile: voi°l
voiles: voi°lz
voiture: vwatë°r
Volans: vö°lanz
volant: vö°l'nt
volante: völá°ntä
volar: vö°l'r
volatile: vo°l't'l
volatilise:> volatilize
volatility: vol'ti°l'të
volatilize: v'la°tilïz
volcanic: volka°nik
volcanically: volka°niklë
volcanicity: válk'ni°sitë
volcanism: vá°lk'niz'm
volcano: volkä°nö
volcanoes: volkä°nöz
volcanological: válk'n'lo°jik'l
volcanologist: vólk'nó°l'jist
volcanologists: vólk'nó°l'jists
Volcker: vö°lk'r
vole: vö°l
voles: vö°lz
volet: vá°lä
Volga: vo°lg'
Volgograd: vö°lgögrad
volitant: vá°lit'nt
volition: völi°ś'n
volitionary: völi°ś'nerë
volitive: vá°litiv
volk: vö°lk
Volkswagen: vö°lkswag'n
volley: vo°lë
volleyball: vo°lëból
volleys: vo°lëz
volost: vö°lost
volplane: vá°lplän
Volsci: vá°lsï
Volscian: vá°lś'n
Volsung: vá°lsúń
volt: vö°lt
Volta: vö°lt'
voltage: vö°ltij
voltages: vö°lt'j'z
voltaic: váltä°ik
Voltaire: völte°r
Voltairean: váltä°rë'n
voltaism: vá°lt'iz'm
voltameter: válta°mit'r
voltametric: vált'me°trik
voltammeter: vö°lta°mmët'r
volte: vá°lt
volti: vo°ltë
voltmeter: vö°ltmët'r
volts: vö°lts
Volturno: voltü°rno
voluble: vo°ly'b'l
volume: vo°lyüm
volumed: vá°lyümd
volumes: vo°lyümz
volumeter: v'lü°mit'r
volumetric: vály'me°trik
voluminosity: v'lüm'no°sitë
voluminous: v'lü°m'n's
voluminously: v'lü°m'n'slë
voluminousness: v'lü°m'n'snes
voluntarily: vol'nte°r'lë
voluntarism: völu°nt'riz'm
voluntary: vo°l'nterë
voluntaryism: vá°l'nt'rëiz'm
volunteer: vol'nti°r
volunteered: vol'nti°rd
volunteering: vól'nti°riń
volunteerism: vól'nti°riz'm
volunteers: vol'nti°rz
voluptuary: v'lu°pćüerë
voluptuous: v'lu°pćü's
volute: v'lyü°t
volution: v'lü°ś'n
volva: vá°lv'
volvate: vá°lvit
Volvo: vö°lvö
volvox: vo°lvoks
volvulus: vá°lvy'l's
vomer: vö°m'r
vomerine: vö°m'rïn
vomica: vá°m'k'
vomit: vo°m't
vomiting: vo°m'tiń
vomito: vá°mitö
vomitorium: vámitö°rë'm
vomitory: vá°mitörë
vomiturition: vámićúri°ś'n
von: vó°n
Vonnegut: vo°n'g't
voodoo: vü°dü
voracious: vórä°ś's
voraciously: vörä°ś'slë
voraciousness: vörä°ś'snes
voracity: vöra°sitë
vorant: vö°r'nt
Vorlage: fö°rlág'
Voronezh: váro°neś
Voroshilov: várośë°lof
Voroshilovgrad: váráśë°lofgrát
Voroshilovsk: várośë°lofsk
vortex: vó°rteks
vortical: vó°rtik'l
vortically: vó°rtik'lë
vorticella: vórtise°l'
vorticist: vö°rtisist
vorticity: vórti°sitë
Vortumnus: vórtu°mn's
Vosges: vö°ź
Vostok: vo°stok
votable: vö°t'b'l
votaress: vö°t'ris
votary: vö°t'rë
vote: vö°t
voteable: vö°t'b'l
voted: vö°t'd
voteless: vö°tlis
voter: vö°t'r
voters: vö°t'rz
votes: vö°ts
voting: vö°tiń
votive: vö°tiv
votress: vö°tris
vouch: vaú°ć
vouched: vaú°ćt
voucher: vaú°ć'r
vouchers: vaú°ć'rz
vouching: vaú°ćiń
vouchsafe: vaútśsä°f
vouge: vü°ź
voussoir: vüswá°r
Vouvray: vüvrä°
vow: vaú°
vowed: vaú°d
vowel: vaú°'l
vowelise:> vowelize
vowelize: vaú°'lïzs
vowels: vaú°'lz
vowing: vaú°iń
vows: vaú°z
vox: vo°ks
voyage: voi°ij
voyaged: voi°'jd
voyager: voi°'j'r
voyagers: voi°ij'rz
voyages: voi°'j'z
voyageur: vwáyáźé°r
voyeur: voiyü°r
voyeurism: voiyü°riz'm
voyeuristic: voiy'ri°stik
vraisemblance: vresánblá°ns
Vries: vrë°s
vroom: vrü°m
vs: vë°e°s
VTOL: vë°tol
Vuitton: vü°t'n
Vulcan: vu°lk'n
Vulcanian: v'lkä°në'n
vulcanise:> vulcanize
vulcanism: vu°lk'niz'm
vulcanist: vu°lk'nist
vulcanite: vu°lk'nït
vulcanize: vu°lk'nïz
vulcanological: vulk'n'lo°jik'l
vulcanology: vulk'no°l'jë
vulcans: vu°lk'nz
vulgar: vu°lg'r
vulgarian: v'lgä°rë'n
vulgarisation:> vulgarization
vulgarise:> vulgarize
vulgarism: vu°lg'riz'm
vulgarity: v'lga°ritë
vulgarization: vulg'rizä°ś'n
vulgarize: vu°lg'rïz
Vulgate: vu°lgät
vulgus: vu°lg's
vulned: v'lnd
vulnerabilities: vuln'r'bi°litëz
vulnerability: vuln'r'bi°litë
vulnerable: vu°ln'r'b'l
vulnerary: vu°ln'rerë
Vulpecula: v'lpe°ky'l'
vulpicide: vu°lpisïd
vulpine: vu°lpïn
vulpinite: vu°lp'nït
vulture: vu°lć'r
vultures: vu°lć'rz
vulturine: vu°lć'rïn
vulturous: vu°lć'r's
vulva: vú°lv'
vulvitis: v'lvï°tis
Vyatka: vyá°tká
Vyborg: vë°bórg
Vycor: vï°kór
vying: vï°iń
vyingly: vï°ińlë
W: du°b'lyü
WA: wo°
Waadt: vá°t
WAAF: wa°f
Waal: wo°l
wab: wá°b
Wabash: wó°baś
Wace: wä°s
wack: wa°k
wacke: wa°k'
wacker: wa°k'r
wacko: wa°kö
wackos: wa°köz
wacks: wa°ks
wacky: wa°kë
Waco: wä°kö
wad: wá°d
wada: wo°d'
wadable: wä°d'b'l
Wadai: wádï°
wadas: wo°d'z
wadded: wo°d'd
waddie: wo°dë
wadding: wá°diń
waddle: wá°d'l
waddy: wá°dë
wade: wä°d
waded: wä°did
wader: wä°d'r
waders: wä°d'rz
wades: wä°dz
wadi: wá°dë
wading: wä°diń
wadmal: wá°dm'l
wads: wo°dz
wadset: wá°dset
wadsetter: wá°dset'r
waesuck: wä°s'k
waesucks: wä°s'ks
Wafd: wá°ft
wafer: wä°f'r
wafers: wä°f'rz
waffie: wá°fë
waffle: wá°f'l
waffled: wo°f'ld
waffles: wo°f'lz
waffling: wo°fliń
waft: wa°ft
waftage: wa°ftij
wafted: wo°ftid
wafting: wo°ftiń
wafture: wa°fć'r
wag: wa°g
wage: wä°j
waged: wä°jd
wager: wä°j'r
wagered: wä°j'rd
wagering: wä°j'riń
wagers: wä°j'rz
wages: wä°j'z
wageworker: wä°jwérk'r
wagged: wa°gd
waggery: wa°g'rë
wagging: wa°giń
waggish: wa°giś
waggishly: wa°giślë
waggishness: wa°giśnes
waggle: wa°g'l
waggling: wa°g'liń
waggly: wa°glë
waging: wä°jiń
Wagner: wa°gn'r
Wagnerian: wagne°rë'n
Wagnerite: vá°gn'rït
wagon: wa°g'n
wagonage: wa°g'nij
wagoner: wa°g'n'r
wagonette: wag'ne°t
wagons: wa°g'nz
Wagram: vá°grám
wags: wa°gz
wagtail: wa°gtäl
Wahhabism: w'há°biz'm
wahine: w'hë°në
wahines: w'hë°nëz
wahoo: wáhü°
Wahpeton: wo°pit'n
waif: wä°f
Waikiki: wïkëkë°
wail: wä°l
wailed: wä°ld
wailful: wä°lf'l
wailing: wä°liń
wails: wä°lz
wailsome: wä°ls'm
wain: wä°n
wainage: wä°nij
wainscot: wä°nsk't
wainscoting: wä°nskötiń
wainscotting:> wainscoting
wainwright: wä°nrït
wair: wä°r
waist: wä°st
waistband: wä°stband
waistcloth: wä°stkloþ
waistcoat: we°sk't
waistcoating: we°sk'tiń
waisted: wä°stid
waister: wä°st'r
waistline: wä°stlïn
waists: wä°sts
wait: wä°t
Waite: wä°t
waited: wä°t'd
waiter: wä°t'r
waiters: wä°t'rz
waiting: wä°tiń
waitlist: wä°tlist
waitress: wä°tr's
waitresses: wä°tr'siz
waits: wä°ts
waive: wä°v
waived: wä°vd
waiver: wä°v'r
waivers: wä°v'rz
waives: wä°vz
waiving: wä°viń
waka: wá°k'
Wakashan: wáka°ś'n
Wakayama: we°p
wake: wä°k
Wakefield: wä°kfëld
wakeful: wä°kf'l
wakefully: wä°kf'lë
wakefulness: wä°kf'lnes
wakeless: wä°klis
wakeman: wä°km'n
waken: wä°k'n
wakening: wä°k'niń
wakerife: wä°krïf
wakes: wä°ks
wakeup: wä°kup
waking: wä°kiń
Waksman: wa°ksm'n
Wal: wó°l
Walachia: wálä°kë'
Wald: wá°ld
Waldemar: vá°ld'már
Walden: wá°ld'n
Waldenburg: vá°ld'nbúrk
Waldenses: wálde°nsëz
Waldensian: wálde°nsë'n
Waldheim: wó°ldhïm
waldhorn: wó°ldhórn
Waldo: wo°ldö
Waldorf: wó°ldórf
wale: wä°l
Waler: wä°l'r
Wales: wä°lz
Walesa: w'le°s'
Walgreen: wó°lgrën
Walhalla: wálha°l'
waling: wä°liń
walk: wo°k
walkabout: wo°k'baút
walkathon: wá°k'þán
walkaway: wo°k'wä
walked: wó°kt
walker: wó°k'r
walkers: wó°k'rz
walking: wó°kiń
Walkman: wó°kman
walkout: wó°kaút
walkouts: wó°kaúts
walkover: wo°köv'r
walks: wó°ks
walkup: wó°kup
walkway: wá°kwä
walkways: wó°kwäz
Walkyrie: walkë°rë
wall: wá°l
wallaba: wá°l'b'
wallabies: wo°l'bëz
wallaby: wá°l'bë
Wallace: wá°lis
Wallachia: wálä°kë'
wallah: wá°lá
wallaroo: wál'rü°
Wallasey: wá°l'së
wallboard: wá°lbörd
walled: wó°ld
Wallenstein: wá°l'nstïn
Waller: wá°l'r
wallet: wá°lit
wallets: wó°l'ts
walleye: wó°lï
walleyed: wá°lïd
wallflower: wá°lflaú'r
wallie: wó°lë
walling: wó°liń
Wallis: wá°lis
Walloon: wálü°n
wallop: wá°l'p
walloper: wá°l'p'r
walloping: wá°l'piń
wallops: wo°l'ps
wallow: wá°lö
wallowed: wo°löd
wallower: wá°löwer
wallowing: wo°löiń
wallpaper: wá°lpäp'r
wallpapered: wó°lpäp'rd
wallpapering: wó°lpäp'riń
wallpapers: wó°lpäp'rz
walls: wó°lz
Wallsend: wó°lsend
wally: wä°lë
wallydrag: wä°lëdrag
wallydraigle: wä°lëdrä°g'l
Walmart: wó°lmort
walnut: wá°lnut
walnuts: wó°lnuts
Walpole: wó°lpöl
Walpurgisnacht: válpú°rgisnákt
walrus: wá°lr's
walruses: wo°lr'siz
Walsh: wó°lś
Walt: wá°lt
Walter: wá°lt'r
Walters: wá°lt'rz
Walton: wó°lt'n
waltz: wá°lts
waltzer: wó°lts'r
waltzes: wó°lts'z
waltzing: wó°ltsiń
wamble: wá°m'l
wame: wä°m
wamefou: wä°mfü
wammus: wá°m's
Wampanoag: wámp'nö°ag
wampum: wá°mp'm
wampumpeag: wá°mp'mpëg
wampus: wá°mp's
wamus: wo°m's
wan: wá°n
Wanamaker: wá°n'mäk'r
wanchancy: wánća°nsë
wand: wá°nd
Wanda: wá°nd'
wander: wá°nd'r
wandered: wo°nd'rd
wanderer: wá°nd'r'r
wanderers: wo°nd'r'rz
wandering: wá°nd'riń
wanderings: wo°nd'rińz
Wanderjahr: vá°nd'ryár
wanderlust: wá°nd'rlust
wanderoo: wánd'rü°
wanders: wo°nd'rz
wandle: wá°nd'l
wandoo: wá°ndü
wands: wo°ndz
wane: wä°n
waned: wä°nd
wanes: wä°nz
waney: wä°në
Wang: wa°ń
wangle: wa°ńg'l
wangled: wa°ńg'ld
wangler: wa°ńgl'r
wangun: wa°ńg'n
Wanhsien: wá°nśye°n
wanigan: wá°n'g'n
waning: wä°niń
wanion: wá°ny'n
wank: wa°ńk
wanker: wa°ńk'r
wanna: wo°n'
wannabe: wo°n'bë
wannabee: wo°n'bë
wannabees: wo°n'bëz
wannabes: wo°n'bëz
wanner: wo°n'r
wannish: wá°niś
want: wá°nt
wantage: wo°ntij
wantages: wo°ntijiz
wanted: wo°nt'd
wanting: wo°ntiń
wanton: wá°nt'n
wantonly: wó°nt'nlë
wants: wo°nts
wap: wá°p
wapentake: wá°p'ntäk
wapinschaw: wá°p'nśo
wapiti: wá°pitë
wapping: wo°piń
war: wá°r
waratah: wá°r't'
Warbeck: wo°rbek
warble: wó°rb'l
warbled: wó°rb'ld
warbler: wó°rbl'r
warblers: wó°rbl'rz
warbles: wó°rb'lz
warbling: wó°rbliń
warbonnet: wo°rbán't
ward: wó°rd
warded: wó°rdid
warden: wó°rd'n
wardens: wó°rd'nz
warder: wó°rd'r
warders: wó°rd'rz
warding: wó°rdiń
wardress: wo°rdris
wardrobe: wó°rdröb
wardrobes: wó°rdröbz
wardroom: wö°rdrüm
wards: wó°rdz
wardship: wo°rdśip
ware: wä°r
warehouse/n: wä°rhaús; v: wä°rhaúz
warehoused: we°rhaúzd
warehouseman: wä°rhaúsm'n
warehouses: we°rhaúsiz
warehousing: we°rhaúziń
wareroom: wä°rrüm
wares: we°rz
warfare: wo°rfär
warfarin: wö°rf'rën
warhead: wó°rhed
warheads: wó°rhedz
Warhol: wó°rhól
warhorse: wö°rhörs
warily: wa°r'lë
wariness: wä°rënis
Waring: we°riń
warison: wa°ris'n
wark: wá°rk
warless: wo°rl's
warlike: wó°rlïk
warling: wó°rliń
warlock: wo°rlok
warlord: wó°rlórd
warlords: wó°rlórdz
warm: wó°rm
warman: wó°rm'n
warmed: wó°rmd
warmer: wó°rm'r
warmest: wó°rm'st
warmhearted: wo°rmhá°rt'd
warming: wó°rmiń
warmish: wó°rmiś
warmly: wó°rmlë
warmonger: wó°rmońg'r
warmongering: wó°rmońg'riń
warmouth: wo°rmaúþ
warms: wó°rmz
warmth: wó°rmþ
warn: wó°rn
warned: wó°rnd
Warner: wó°rn'r
warners: wó°rn'rz
warning: wó°rniń
warningly: wó°rnińlë
warnings: wó°rnińz
warns: wó°rnz
warp: wó°rp
warpaint: wö°rpänt
warpath: wó°rpaþ
warped: wó°rpt
warper: wo°rp'r
warping: wó°rpiń
warplane: wó°rplän
warplanes: wó°rplänz
warps: wó°rps
warragal: wo°r'g'l
warrant: wó°r'nt
warrantable: wo°r'nt'b'l
warrantableness: wo°r'nt'b'lnes
warranted: wó°r'ntid
warrantee: wor'ntë°
warranter: wo°r'nt'r
warranties: wó°r'ntëz
warrantless: wó°r'ntl's
warrantor: wo°r'ntór
warrants: wó°r'nts
warranty: wó°r'ntë
warren: wó°r'n
warrener: wo°r'n'r
warrens: wó°r'nz
warrigal: wo°r'g'l
warring: wó°riń
Warrington: wó°rińt'n
warrior: wó°rë'r
warriors: wó°rë'rz
wars: wó°rz
Warsaw: wó°rsó
warsaws: wó°rsóz
warship: wó°rśip
warships: wó°rśips
warsle: wá°rs'l
warstle: wá°rs'l
warstler: wó°rstl'r
wart: wó°rt
Warta: vá°rtá
Wartburg: vá°rtbúrk
warthog: wo°rthog
wartime: wó°rtïm
wartimes: wó°rtïmz
warts: wó°rts
warty: wo°rtë
Warwick: wó°rwik
Warwickshire: wo°rikśër
wary: wä°rë
was: w'z
Wasatch: wo°sać
wase: wä°z
wash: wá°ś
washable: wá°ś'b'l
washbasin: wo°śbäs'n
washboard: wá°śbörd
washbowl: wá°śböl
washcloth: wá°śkloþ
washday: wá°śdä
washed: wo°śt
washer: wá°ś'r
washerman: wá°ś'rm'n
washers: wo°ś'rz
washerwoman: wá°ś'wúm'n
washery: wá°ś'rë
washes: wo°śiz
washeteria: wáś'të°'rë'
washhouse: wo°śhaús
washin: wá°śin
washiness: wá°śënis
washing: wá°śiń
Washington: wo°śińt'n
washingtonia: wáśińtö°në'
Washingtonian: wáśińtö°në'n
Washingtonians: wośińtö°në'nz
washland: wá°śland
Washoe: wo°śö
washout: wá°śaút
washouts: wo°śaúts
washrag: wá°śrag
washroom: wá°śrüm
washstand: wá°śstand
washtub: wá°śtub
washwoman: wá°śwúm'n
washy: wá°śë
wasn't: wo°z'nt
wasp: wá°sp
waspish: wá°spiś
wasps: wo°sps
Waspy: wá°spë
wassail: wá°s'l
wasserman: wo°s'rm'n
Wassermann: wá°s'rm'n
wast: wá°st
wastage: wä°stij
waste: wä°st
wastebasket: wä°stbask't
wastebaskets: wä°stbask'ts
wasted: wä°st'd
wasteful: wä°stf'l
wastefulness: wä°stf'ln's
wasteland: wä°stland
wastelot: wä°stlot
wasteness: wä°stnis
wastepaper: wä°stpäp'r
waster: wä°st'r
wasters: wä°st'rz
wastery: wä°strë
wastes: wä°sts
wastewater: wä°stwót'r
wasting: wä°stiń
wastrel: wä°str'l
wastry: wä°strë
wat: wa°t
watch: wá°ć
watchband: wá°ćband
watchcase: wá°ćkäs
watchdog: wá°ćdog
watchdogs: wo°ćdógz
watched: wo°ćt
watcher: wá°ć'r
watchers: wo°ć'rz
watches: wo°ć'z
watchful: wá°ćf'l
watchfully: wá°ćf'lë
watchfulness: wá°ćf'lnes
watching: wo°ćiń
watchmaker: wá°ćmäk'r
watchman: wá°tśm'n
watchmen: wo°ćmen
watchout: wá°ćaút
watchtower: wá°ćtaú'r
watchword: wá°ćwérd
watchwords: wo°ćwérdz
water: wó°t'r
waterage: wo°t'rij
waterbed: wó°t'rbed
waterbeds: wó°t'rbedz
waterborne: wó°t'rbórn
waterbottle: wó°t'rbót'l
waterbuck: wo°t'rbuk
Waterbury: wó°t'rberë
watercolor: wó°t'rkul'r
watercolors: wó°t'rkul'rz
watercolour:> watercolor
watercolours:> watercolors
watercourse: wo°t'rkörs
watercraft: wo°t'rkraft
watercress: wó°t'rkres
waterdog: wo°t'rdog
watered: wó°t'rd
waterer: wó°t'r'r
waterfall: wo°t'rfál
waterfalls: wó°t'rfólz
Waterford: wó°t'rf'rd
waterfowl: wó°t'rfaúl
waterfront: wó°t'rfrunt
waterfronts: wó°t'rfrunts
Watergate: wó°t'rgät
wateriness: wo°t'rënis
watering: wó°t'riń
waterish: wo°t'riś
waterishness: wo°t'riśnes
waterleaf: wo°t'rlëf
waterless: wo°t'rlis
waterline: wo°t'rlïn
waterlog: wó°t'rlog
waterlogged: wó°t'rlogd
Waterloo: wó°t'rlü
waterman: wó°t'rm'n
watermanship: wo°t'rm'nśip
watermark: wó°t'rmork
watermarks: wó°t'rmorks
watermelon: wó°t'rmel'n
watermelons: wó°t'rmel'nz
watermen: wó°t'rm'n
waterproof: wó°t'rprüf
waterproofing: wó°t'rprüfiń
waters: wó°t'rz
waterscape: wo°t'rskäp
watershed: wo°t'rśed
watersheds: wó°t'rśedz
waterside: wo°t'rsïd
waterspout: wö°rt'spaút
watertight: wó°t'rtït
waterway: wó°t'rwä
waterways: wó°t'rwäz
waterwheel: wo°t'rẃël
waterwork: wó°t'rwérk
waterworks: wó°t'rwérks
watery: wó°t'rë
Watkins: wá°tkinz
Watson: wo°ts'n
watt: wá°t
wattage: wá°tij
Watteau: wátö°
wattle: wá°t'l
wattled: wo°t'ld
wattles: wo°t'lz
wattless: wá°tlis
wattmeter: wá°tmët'r
watts: wá°ts
Watusi: wátü°së
waucht: wá°kt
Waugh: wó°
waught: wá°kt
wauk: wo°k
waur: wo°r
wave: wä°v
waveband: wä°vband
waved: wä°vd
waveguide: wä°vgïd
wavelength: wä°vleńþ
wavelengths: wä°vleńþs
wavelet: wä°vlit
wavellite: wä°v'lït
wavemeter: wä°vmët'r
waver: wä°v'r
wavered: wä°v'rd
wavering: wä°v'riń
waves: wä°vz
wavey: wä°vë
waving: wä°viń
wavy: wä°vë
waw: waú°
wax: wa°ks
waxberry: wa°ksb'rë
waxbill: wa°ksbil
waxcloth: wa°kskloþ
waxed: wa°kst
waxen: wa°ks'n
waxes: wa°ksiz
waxing: wa°ksiń
waxplant: wa°ksplant
waxweed: wa°kswëd
waxwing: wa°kswiń
waxwork: wa°kswérk
waxy: wa°ksë
way: wä°
waybill: wä°bil
waybread: wä°bred
wayfarer: wä°fär'r
wayfaring: wä°färiń
waygoing: wä°göiń
waylaid: wä°läd
Wayland: wä°l'nd
waylay: wä°lä
wayleave: wä°lëv
wayless: wä°lis
waymark: wä°m'rk
Wayne: wä°n
ways: wä°z
wayside: wä°sïd
wayward: wä°w'rd
wayworn: wä°wörn
wazir: wozi°r
Waziristan: wázë°ristán
we: wë°
we'd: wë°d
we'll: wë°l
we're: wë°r
we've: wë°v
weak: wë°k
weaken: wë°k'n
weakened: wë°k'nd
weakening: wë°k'niń
weakens: wë°k'nz
weaker: wë°k'r
weakest: wë°k'st
weakfish: wë°kfiś
weakhanded: wë°kha°ndid
weakling: wë°kliń
weakly: wë°klë
weakness: wë°kn's
weaknesses: wë°kn's'z
weal: wë°l
Weald: wë°ld
wealth: we°lþ
wealthier: we°lþë'r
wealthiest: we°lþë'st
wealths: we°lþs
wealthy: we°lþë
wean: wë°n
weaned: wë°nd
weanedness: wë°nidnis
weaner: wë°n'r
weaning: wë°niń
weanling: wë°nlëń
weapon: we°p'n
weaponeer: wep'në°r
weaponry: we°p'nrë
weapons: we°p'nz
weaponshaw: we°p'nśo
wear: we°r
wearability: wár'bi°lite
wearable: we°r'b'l
wearer: we°r'r
wearers: we°r'rz
wearied: wi°rëd
weariful: wë°rëf'l
wearily: we°r'lë
weariness: wi°rën's
wearing: we°riń
wearish: wë°riś
wearisome: wë°rës'm
wearproof: wä°rprüf
wears: we°rz
weary: wë°rë
wearying: wë°rëiń
weasand: wë°z'nd
weasel: wë°z'l
weasels: wë°z'lz
weason: wë°z'n
weather: we°ð'r
weatherability: weð'r'bi°l'të
weatherboard: we°ð'rbörd
weatherboarding: we°ð'rbördiń
weathercock: we°ð'kok
weathered: we°ð'rd
weatherglass: we°ð'rglas
weathering: we°ð'riń
weatherly: we°ð'rlë
weatherman: we°ð'rman
weathermen: we°ð'rmen
weathermost: we°ð'möst
weatherperson: we°þ'rpérs'n
weatherproof: we°ð'rprüf
weathers: we°ð'rz
weathertight: we°ð'rtï°t
weatherworn: we°ð'rwörn
weave: wë°v
weaved: wë°vd
weaver: wë°v'r
weavers: wë°v'rz
weaves: wë°vz
weaving: wë°viń
weavings: wë°vińz
weazand: wë°z'nd
weazen: wë°z'n
web: we°b
Webb: we°b
webbed: we°bd
webbing: we°biń
webby: we°bë
Weber: we°b'r
webers: we°b'rz
webfoot: we°bfút
webmaster: we°bmast'r
webs: we°bz
website: we°bsït
Webster: we°bst'r
Websterian: webstë°rë'n
Websters: we°bst'rz
webworm: we°bwérm
wecht: we°kt
weck: we°k
wed: we°d
wedded: we°did
Weddell: we°d'l
wedding: we°diń
weddings: we°dińz
Wedekind: we°dikind
wedel: we°d'l
wedeln: vä°d'ln
wedge: we°j
wedged: we°jd
wedges: we°j'z
wedgie: we°jë
Wedgwood: we°jwúd
wedgy: we°jë
wedlock: we°dlok
Wednesday: we°nzdä
Wednesdays: we°nzdëz
wee: wë°
weed: wë°d
weeded: wë°did
weeder: wë°d'r
weeding: wë°diń
weeds: wë°dz
weedy: wë°dë
week: wë°k
weekday: wë°kdä
weekdays: wë°kdäz
weekend: wë°kend
weekender: wë°kend'r
weekends: wë°kendz
weeklies: wë°klëz
weeklong: wë°klóń
weekly: wë°klë
weeks: wë°ks
weems: wë°mz
ween: wë°n
weenie: wë°në
weeny: wë°në
weep: wë°p
weeper: wë°p'r
weepie: wë°pë
weeping: wë°piń
weeps: wë°ps
weepy: wë°pë
weer: wë°'r
weest: wë°ist
weever: wë°v'r
weevil: wë°v'l
weevils: wë°v'lz
weft: we°ft
Wehrmacht: vä°rmákt
Wei: wä°
Weichsel: vï°ks'l
weigela: wïgë°l'
weigelia: wïgë°lë'
weigh: wä°
weighbridge: wä°brij
weighed: wä°d
weighing: wä°iń
weighman: wä°m'n
weighs: wä°z
weight: wä°t
weighted: wä°tid
weighting: wä°tiń
weightings: wä°tińz
weightless: wä°tles
weightlessness: wä°tl'sn's
weightlifter: wä°tlift'r
weightlifters: wä°tlift'rz
weightlifting: wä°tliftiń
weights: wä°ts
weighty: wä°të
weil: wï°l
Weill: wï°l
Weimaraner: wïm'rá°rn'
Weinberg: wï°nb'rg
weiner: wï°n'r
weir: wë°r
weird: wi°rd
weirder: wi°rd'r
weirdest: wi°rd'st
weirdie: wë°'dë
weirdly: wi°rdlë
weirdness: wë°rdnes
weirdo: wi°rdö
weirdos: wi°rdöz
weirdy: wë°rdë
weisenheimer: wï°z'nhïm'r
Weismannism: vï°sm'niz'm
Weiss: wï°s
Weisshorn: vï°shórn
Weizmann: vï°tsmán
wejack: wë°jak
weka: wä°ká
welcher: we°lć'r
welcome: we°lk'm
welcomed: we°lk'md
welcomes: we°lk'mz
welcoming: we°lk'miń
weld: we°ld
welded: we°ldid
welder: we°ld'r
welders: we°ld'rz
welding: we°ldiń
weldment: we°ldm'nt
Weldon: we°ld'n
welds: we°ldz
welfare: we°lfär
welfarism: we°lfäriz'm
welk: we°lk
welkin: we°lkin
well: we°l
welladay: we°l'dä°
Welland: we°l'nd
wellbeing: welbë°iń
wellborn: we°lbó°rn
welldoer: we°ldü°'r
welldoing: we°ldü°iń
Weller: we°l'r
Welles: we°lz
Wellesley: we°lzlë
Wellesz: ve°les
wellhead: we°lhed
wellhole: we°lhöl
wellhouse: we°lhaús
wellies: we°lëz
welling: we°liń
wellington: we°lińt'n
wellness: we°ln's
wellnigh: we°lnï
wells: we°lz
Wellsian: we°lzë'n
wellsite: we°lzït
wellspring: we°lspriń
wels: we°ls
Welsh: we°lś
Welshman: we°lśm'n
Welshwoman: we°lśwúm'n
welt: we°lt
Weltanschauung: veltánśaú°ń
welter: we°lt'r
welterweight: we°lt'rwät
Weltpolitik: ve°ltpölitë°k
Weltschmerz: ve°ltśmerts
Wembley: we°mblë
wen: we°n
Wenceslaus: we°ns'slós
wench: we°nć
wenches: we°nćiz
wend: we°nd
Wendell: we°nd'l
wending: we°ndiń
Wendish: we°ndiś
wends: we°ndz
Wendy: we°ndë
wenge: we°nj
Wensleydale: we°nzlëdäl
went: we°nt
wentletrap: we°nt'ltrap
Wentworth: we°ntwé°rþ
wept: we°pt
were: wé°r
weregild: wé°rgild
weren't: wé°rnt
werewolf: we°rwúlf
wergild: wé°rgild
wernerite: wé°rn'rït
wersh: we°rś
wert: wé°rt
Wesley: we°slë
Wesleyan: we°slë'n
Wesleyanism: we°slë'niz'm
wessand: wë°z'nd
Wessex: we°s'ks
Wesson: we°s'n
west: we°st
westabout: we°st'baút
westbound: we°stbaúnd
wester: we°st'r
westering: we°st'riń
westerlies: we°st'rlëz
westerly: we°st'rlë
